ARK	TYPE	VALUE	SOURCE
21198/zz0008z797		eng	ISO639-2
21198/zz0008z7br		eng	ISO639-2
21198/zz0008z7c8		eng	ISO639-2
21198/zz0008z7ds		eng	ISO639-2
21198/zz0008z7f9		eng	ISO639-2
21198/zz0008z7gt		eng	ISO639-2
21198/zz0008z7hb		eng	ISO639-2
21198/zz0008z7jv		eng	ISO639-2
21198/zz0008z7mw		eng	ISO639-2
21198/zz0008z7nd		eng	ISO639-2
21198/zz0008z7px		eng	ISO639-2
21198/zz0008z7qf		eng	ISO639-2
21198/zz0008z7rz		eng	ISO639-2
21198/zz0008z7sg		eng	ISO639-2
21198/zz0008z7t0		eng	ISO639-2
21198/zz0008z7vh		eng	ISO639-2
21198/zz0008z7xj		eng	ISO639-2
21198/zz0008z7z2		eng	ISO639-2
21198/zz0008z802		eng	ISO639-2
21198/zz0008z81k		eng	ISO639-2
21198/zz0008z823		eng	ISO639-2
21198/zz0008z844		eng	ISO639-2
21198/zz0008z865		eng	ISO639-2
21198/zz0008z87p		eng	ISO639-2
21198/zz0008z886		eng	ISO639-2
21198/zz0008z89q		eng	ISO639-2
21198/zz0008z8b7		eng	ISO639-2
21198/zz0008z8cr		eng	ISO639-2
21198/zz0008z8d8		eng	ISO639-2
21198/zz0008z8fs		eng	ISO639-2
21198/zz0008z8g9		eng	ISO639-2
21198/zz0008z8ht		eng	ISO639-2
21198/zz0008z8jb		eng	ISO639-2
21198/zz0008z8kv		eng	ISO639-2
21198/zz0008z8mc		eng	ISO639-2
21198/zz0008z8nw		eng	ISO639-2
21198/zz0008z8pd		eng	ISO639-2
21198/zz0008z8qx		eng	ISO639-2
21198/zz0008z8rf		eng	ISO639-2
21198/zz0008z8sz		eng	ISO639-2
21198/zz0008z8tg		eng	ISO639-2
21198/zz0008z8v0		eng	ISO639-2
21198/zz0008z8wh		eng	ISO639-2
21198/zz0008z8zj		eng	ISO639-2
21198/zz0008z90j		eng	ISO639-2
21198/zz0008z912		eng	ISO639-2
21198/zz0008z92k		eng	ISO639-2
21198/zz0008z933		eng	ISO639-2
21198/zz0008z94m		eng	ISO639-2
21198/zz0008z954		eng	ISO639-2
21198/zz0008z96n		eng	ISO639-2
21198/zz0008z975		eng	ISO639-2
21198/zz0008z98p		eng	ISO639-2
21198/zz0008z996		eng	ISO639-2
21198/zz0008z9bq		eng	ISO639-2
21198/zz0008z9c7		eng	ISO639-2
21198/zz0008z9dr		eng	ISO639-2
21198/zz0008z9f8		eng	ISO639-2
21198/zz0008z9gs		eng	ISO639-2
21198/zz0008z9h9		eng	ISO639-2
21198/zz0008z9jt		eng	ISO639-2
21198/zz0008z9kb		eng	ISO639-2
21198/zz0008z9mv		eng	ISO639-2
21198/zz0008z9nc		eng	ISO639-2
21198/zz0008z9pw		eng	ISO639-2
21198/zz0008z9qd		eng	ISO639-2
21198/zz0008z9rx		eng	ISO639-2
21198/zz0008z9sf		eng	ISO639-2
21198/zz0008z9tz		eng	ISO639-2
21198/zz0008z9vg		eng	ISO639-2
21198/zz0008z9w0		eng	ISO639-2
21198/zz0008z9xh		eng	ISO639-2
21198/zz0008z9z1		eng	ISO639-2
21198/zz0008zb01		eng	ISO639-2
21198/zz0008zb1j		eng	ISO639-2
21198/zz0008zb22		eng	ISO639-2
21198/zz0008zb3k		eng	ISO639-2
21198/zz0008zb43		eng	ISO639-2
21198/zz0008zb5m		eng	ISO639-2
21198/zz0008zb64		eng	ISO639-2
21198/zz0008zb7n		eng	ISO639-2
21198/zz0008zb9p		eng	ISO639-2
21198/zz0008zbb6		eng	ISO639-2
21198/zz0008zbd7		eng	ISO639-2
21198/zz0008zbg8		eng	ISO639-2
21198/zz0008zbhs		eng	ISO639-2
21198/zz0008zbj9		eng	ISO639-2
21198/zz0008zbkt		eng	ISO639-2
21198/zz0008zbmb		eng	ISO639-2
21198/zz0008zbnv		eng	ISO639-2
21198/zz0008zbpc		eng	ISO639-2
21198/zz0008zbqw		eng	ISO639-2
21198/zz0008zbrd		eng	ISO639-2
21198/zz0008zbsx		eng	ISO639-2
21198/zz0008zbtf		eng	ISO639-2
21198/zz0008zbvz		eng	ISO639-2
21198/zz0008zbwg		eng	ISO639-2
21198/zz0008zbx0		eng	ISO639-2
21198/zz0008zbzh		eng	ISO639-2
21198/zz0008zc0h		eng	ISO639-2
21198/zz0008zc11		eng	ISO639-2
21198/zz0008zc2j		eng	ISO639-2
21198/zz0008zc32		eng	ISO639-2
21198/zz0008zc4k		eng	ISO639-2
21198/zz0008zc53		eng	ISO639-2
21198/zz0008zc6m		eng	ISO639-2
21198/zz0008zc74		eng	ISO639-2
21198/zz0008zc8n		eng	ISO639-2
21198/zz0008zc95		eng	ISO639-2
21198/zz0008zcbp		eng	ISO639-2
21198/zz0008zcc6		eng	ISO639-2
21198/zz0008zcdq		eng	ISO639-2
21198/zz0008zcf7		eng	ISO639-2
21198/zz0008zcgr		eng	ISO639-2
21198/zz0008zch8		eng	ISO639-2
21198/zz0008zcjs		eng	ISO639-2
21198/zz0008zcmt		eng	ISO639-2
21198/zz0008zcnb		eng	ISO639-2
21198/zz0008zcpv		eng	ISO639-2
21198/zz0008zcqc		eng	ISO639-2
21198/zz0008zcsd		eng	ISO639-2
21198/zz0008zctx		eng	ISO639-2
21198/zz0008zcwz		eng	ISO639-2
21198/zz0008zd00		eng	ISO639-2
21198/zz0008zd1h		eng	ISO639-2
21198/zz0008zd21		eng	ISO639-2
21198/zz0008zd3j		eng	ISO639-2
21198/zz0008zd42		eng	ISO639-2
21198/zz0008zd5k		eng	ISO639-2
21198/zz0008zd63		eng	ISO639-2
21198/zz0008zd7m		eng	ISO639-2
21198/zz0008zd84		eng	ISO639-2
21198/zz0008zd9n		eng	ISO639-2
21198/zz0008zdb5		eng	ISO639-2
21198/zz0008zdcp		eng	ISO639-2
21198/zz0008zdfq		eng	ISO639-2
21198/zz0008zdhr		eng	ISO639-2
21198/zz0008zdj8		eng	ISO639-2
21198/zz0008zdks		eng	ISO639-2
21198/zz0008zdm9		eng	ISO639-2
21198/zz0008zdnt		eng	ISO639-2
21198/zz0008zdpb		eng	ISO639-2
21198/zz0008zdqv		eng	ISO639-2
21198/zz0008zdrc		eng	ISO639-2
21198/zz0008zdsw		eng	ISO639-2
21198/zz0008zdtd		eng	ISO639-2
21198/zz0008zdvx		eng	ISO639-2
21198/zz0008zdwf		eng	ISO639-2
21198/zz0008zdxz		eng	ISO639-2
21198/zz0008zdzg		eng	ISO639-2
21198/zz0008zf0g		eng	ISO639-2
21198/zz0008zf2h		eng	ISO639-2
21198/zz0008zf31		eng	ISO639-2
21198/zz0008zf4j		eng	ISO639-2
21198/zz0008zf52		eng	ISO639-2
21198/zz0008zf73		eng	ISO639-2
21198/zz0008zf8m		eng	ISO639-2
21198/zz0008zfbn		eng	ISO639-2
21198/zz0008zfc5		eng	ISO639-2
21198/zz0008zff6		eng	ISO639-2
21198/zz0008zfgq		eng	ISO639-2
21198/zz0008zfh7		eng	ISO639-2
21198/zz0008zfjr		eng	ISO639-2
21198/zz0008zfms		eng	ISO639-2
21198/zz0008zfn9		eng	ISO639-2
21198/zz0008zfpt		eng	ISO639-2
21198/zz0008zfqb		eng	ISO639-2
21198/zz0008zfrv		eng	ISO639-2
21198/zz0008zfsc		eng	ISO639-2
21198/zz0008zftw		eng	ISO639-2
21198/zz0008zfwx		eng	ISO639-2
21198/zz0008zfxf		eng	ISO639-2
21198/zz0008zfzz		eng	ISO639-2
21198/zz0008zg0z		eng	ISO639-2
21198/zz0008zg1g		eng	ISO639-2
21198/zz0008zg20		eng	ISO639-2
21198/zz0008zg3h		eng	ISO639-2
21198/zz0008zg41		eng	ISO639-2
21198/zz0008zg5j		eng	ISO639-2
21198/zz0008zg62		eng	ISO639-2
21198/zz0008zg7k		eng	ISO639-2
21198/zz0008zg83		eng	ISO639-2
21198/zz0008zg9m		eng	ISO639-2
21198/zz0008zgb4		eng	ISO639-2
21198/zz0008zgcn		eng	ISO639-2
21198/zz0008zgd5		eng	ISO639-2
21198/zz0008zgfp		eng	ISO639-2
21198/zz0008zgg6		eng	ISO639-2
21198/zz0008zghq		eng	ISO639-2
21198/zz0008zgj7		eng	ISO639-2
21198/zz0008zgkr		eng	ISO639-2
21198/zz0008zgm8		eng	ISO639-2
21198/zz0008zgns		eng	ISO639-2
21198/zz0008zgp9		eng	ISO639-2
21198/zz0008zgqt		eng	ISO639-2
21198/zz0008zgrb		eng	ISO639-2
21198/zz0008zgsv		eng	ISO639-2
21198/zz0008zgtc		eng	ISO639-2
21198/zz0008zgvw		eng	ISO639-2
21198/zz0008zgwd		eng	ISO639-2
21198/zz0008zgxx		eng	ISO639-2
21198/zz0008zgzf		eng	ISO639-2
21198/zz0008zh0f		eng	ISO639-2
