ARK	TYPE	VALUE	SOURCE
21198/zz0008zcf7	relatedTo	http://content.cdlib.org/ark:/13030/hb4g5009q6/ 	
21198/zz0008zdpb	relatedTo	http://content.cdlib.org/ark:/13030/hb3f59p12j/ 	
21198/zz0008zf2h	relatedTo	http://content.cdlib.org/ark:/13030/hb6c6010vb/ 	
21198/zz0008zmg4	relatedTo	http://content.cdlib.org/ark:/13030/hb5s2009r0/ 	
21198/zz0008zp80	relatedTo	http://content.cdlib.org/ark:/13030/hb2c6007rg/ 	
21198/zz0008zmwb	relatedTo	http://content.cdlib.org/ark:/13030/hb6g5010zj/ 	
21198/zz0008zrg2	relatedTo	http://content.cdlib.org/ark:/13030/hb8779p537/ 	
21198/zz0008zmb2	relatedTo	http://content.cdlib.org/ark:/13030/hb2d5nb4g6/ 	
21198/zz0008zn0c	relatedTo	http://content.cdlib.org/ark:/13030/hb5m3nb6fw/ 	
21198/zz0008znc2	relatedTo	http://content.cdlib.org/ark:/13030/hb6489p54g/ 	
21198/zz0008zr0t	relatedTo	http://content.cdlib.org/ark:/13030/hb4j49p32g/ 	
21198/zz0008zr3c	relatedTo	http://content.cdlib.org/ark:/13030/hb4w1009p9/ 	
21198/zz0008zrp5	relatedTo	http://content.cdlib.org/ark:/13030/hb4m3nb6cj/ 	
21198/zz0008zbzh	relatedTo	http://content.cdlib.org/ark:/13030/ft2m3nb08v/ 	
21198/zz0008zgns	relatedTo	http://content.cdlib.org/ark:/13030/hb9z09p6tg/ 	
21198/zz0008zpr7	relatedTo	http://content.cdlib.org/ark:/13030/hb858011v4/ 	
21198/zz0008zdzg	relatedTo	http://content.cdlib.org/ark:/13030/hb3n39p1fj/ 	
21198/zz0008zdxz	relatedTo	http://content.cdlib.org/ark:/13030/hb8n39p5jk/ 	
21198/zz0008zgzf	relatedTo	http://content.cdlib.org/ark:/13030/hb9h4nb9dd/ 	
21198/zz0008zh51	relatedTo	http://content.cdlib.org/ark:/13030/hb3n39p1g2/ 	
21198/zz0008zqs7	relatedTo	http://content.cdlib.org/ark:/13030/hb7h4nb803/ 	
21198/zz0008zmxv	relatedTo	http://content.cdlib.org/ark:/13030/hb229006xm/ 	
21198/zz0008z7rz	relatedTo	http://content.cdlib.org/ark:/13030/ft4g5005d0/ 	
21198/zz0008zbnv	relatedTo	http://content.cdlib.org/ark:/13030/hb3t1nb5jn/ 	
21198/zz0008zd9n	relatedTo	http://content.cdlib.org/ark:/13030/hb4c6009nh/ 	
21198/zz0008zcsd	relatedTo	http://content.cdlib.org/ark:/13030/ft258003n2/ 	
