ARK	TYPE	VALUE	SOURCE
21198/zz0008z797		7 hrs.	
21198/zz0008z7br			
21198/zz0008z7c8		11 hrs.	
21198/zz0008z7gt		16 hrs.	
21198/zz0008z7hb		38 hrs.	
21198/zz0008z7mw		10.5 hrs.	
21198/zz0008z7nd		10.75 hrs.	
21198/zz0008z7px		6 hrs.	
21198/zz0008z7qf		6 hrs.	
21198/zz0008z7rz		12 hrs.	
21198/zz0008z81k		12 hrs.	
21198/zz0008z823		5 hrs.	
21198/zz0008z886		17 hrs.	
21198/zz0008z89q		8.25 hrs.	
21198/zz0008z8b7		7.5 hrs.	
21198/zz0008z8cr		19.5 hrs.	
21198/zz0008z8g9		50 hrs.	
21198/zz0008z8jb		8.25 hrs.	
21198/zz0008z8mc		5 hrs.	
21198/zz0008z8nw		3 hrs.	
21198/zz0008z8pd		8.5 hrs.	
21198/zz0008z8rf		4 hrs.	
21198/zz0008z8sz		12 hrs.	
21198/zz0008z8v0		27 hrs.	
21198/zz0008z90j		6 hrs.	
21198/zz0008z912		6.5 hrs.	
21198/zz0008z92k		8.5 hrs.	
21198/zz0008z933		4 hrs.	
21198/zz0008z94m		18 hrs.	
21198/zz0008z954		7 hrs.	
21198/zz0008z96n		5 hrs.	
21198/zz0008z975		5.5 hrs.	
21198/zz0008z98p		9 hrs.	
21198/zz0008z996		13 hrs.	
21198/zz0008z9bq		359 leaves : index.	
21198/zz0008z9c7		13.5 hrs.	
21198/zz0008z9dr		6.5 hrs.	
21198/zz0008z9f8		7 hrs.	
21198/zz0008z9gs		11.5 hrs.	
21198/zz0008z9h9		7.5 hrs.	
21198/zz0008z9jt		6 hrs.	
21198/zz0008z9kb		4 hrs.	
21198/zz0008z9mv		13 hrs.	
21198/zz0008z9nc		2 hrs.	
21198/zz0008z9qd		2.5 hrs.	
21198/zz0008z9sf		6 hrs.	
21198/zz0008z9tz		16 hrs.	
21198/zz0008z9vg		5.5 hrs.	
21198/zz0008z9w0		6 hrs.	
21198/zz0008z9xh		17 hrs.	
21198/zz0008z9z1		6 hrs.	
21198/zz0008zb01		13 hrs.	
21198/zz0008zb22		3 hrs.	
21198/zz0008zb3k		6 hrs.	
21198/zz0008zb43		3 hrs.	
21198/zz0008zb64		4 hrs.	
21198/zz0008zb9p		5.5 hrs.	
21198/zz0008zbb6		42 hrs.	
21198/zz0008zbd7		22 hrs.	
21198/zz0008zbg8		2 hrs.	
21198/zz0008zbhs		3 hrs.	
21198/zz0008zbj9		1 hr.	
21198/zz0008zbkt		3 hrs.	
21198/zz0008zbmb		2.5 hrs.	
21198/zz0008zbnv		1.75 hrs.	
21198/zz0008zbpc		12.5 hrs.	
21198/zz0008zbqw		3 hrs.	
21198/zz0008zbtf		15 hrs.	
21198/zz0008zbzh		12.5 hrs.	
21198/zz0008zc11		36 hrs.	
21198/zz0008zc32		21 hrs.	
21198/zz0008zc6m		30 hrs.	
21198/zz0008zc8n		4.5 hrs.	
21198/zz0008zcdq		3 hrs.	
21198/zz0008zcf7		3.25 hrs.	
21198/zz0008zcgr		8.5 hrs.	
21198/zz0008zcnb		14 hrs.	
21198/zz0008zcqc		6.5 hrs.	
21198/zz0008zcsd		19 hrs.	
21198/zz0008zctx		6 hrs.	
21198/zz0008zd21		15.25 hrs.	
21198/zz0008zd3j		24 hrs.	
21198/zz0008zd5k		2.5 hrs.	
21198/zz0008zd63		6 hrs.	
21198/zz0008zd7m		3 hrs.	
21198/zz0008zd9n		9.5 hrs.	
21198/zz0008zdcp		1 hr.	
21198/zz0008zdfq		6.5 hrs.	
21198/zz0008zdhr		7 hrs.	
21198/zz0008zdm9		10 hrs.	
21198/zz0008zdpb		9.75 hrs.	
21198/zz0008zdqv		3 hrs.	
21198/zz0008zdrc		4 hrs.	
21198/zz0008zdsw		4.5 hrs.	
21198/zz0008zdvx		12 hrs.	
21198/zz0008zdwf		9 hrs.	
21198/zz0008zdxz		7 hrs.	
21198/zz0008zdzg		7 hrs.	
21198/zz0008zf0g		3.8 hrs.	
21198/zz0008zf2h		24 hrs.	
21198/zz0008zf31		9.5 hrs.	
21198/zz0008zf4j		9 hrs.	
21198/zz0008zf73		10.5 hrs.	
21198/zz0008zf8m		6 hrs.	
21198/zz0008zfbn		7 hrs.	
21198/zz0008zff6		1.5 hrs.	
21198/zz0008zfgq		6.25 hrs.	
21198/zz0008zfjr		12 hrs. 15 min.	
21198/zz0008zfn9		14 hrs.	
21198/zz0008zfpt		13 hrs.	
21198/zz0008zfqb		16.5 hrs.	
21198/zz0008zfsc		3.5 hrs.	
21198/zz0008zftw		2.5 hrs.	
21198/zz0008zfwx		5 hrs.	
21198/zz0008zfxf		13 hrs.	
21198/zz0008zfzz		17.5 hrs.	
21198/zz0008zg20		3.5 hrs.	
21198/zz0008zg5j		3 hrs.	
21198/zz0008zg62		6 hrs.	
21198/zz0008zg83		13.5 hrs.	
21198/zz0008zg9m		3 hrs.	
21198/zz0008zgb4		6 hrs.	
21198/zz0008zgcn		6 hrs.	
21198/zz0008zgd5		6 hrs.	
21198/zz0008zgfp		24.25 hrs.	
21198/zz0008zgg6		7 hrs.	
21198/zz0008zgj7		6 hrs.	
21198/zz0008zgkr		4.5 hrs.	
21198/zz0008zgns		20 hrs.	
21198/zz0008zgvw		9 hrs.	
21198/zz0008zgzf		7 hrs.	
21198/zz0008zh1z		13.25 hrs.	
21198/zz0008zh30		17.75 hrs.	
21198/zz0008zh51		6.8 hrs.	
21198/zz0008zh6j		7.65 hrs.	
21198/zz0008zh72		5.75 hrs.	
21198/zz0008zh8k		4.75 hrs.	
21198/zz0008zh93		7 hrs.	
21198/zz0008zhc4		4.75 hrs.	
21198/zz0008zhf5		25.25 hrs.	
21198/zz0008zhh6		3 hrs.	
21198/zz0008zhjq		6 hrs.	
