ARK	TYPE	VALUE	SOURCE
21198/zz00096b8q	creation	February-May 2007	
21198/zz00096b6p	creation	February-June 2007	
21198/zz00096b97	creation	Jan-March 2007	
21198/zz00096jxf	creation	July 2006-February 2007	
21198/zz00096mdn	creation	Dec. 5, 2005	
21198/zz000975hc	creation	April-May, 2008	
21198/zz0009519f	creation	May-August 2006	
21198/zz00095x90	creation	March-May, 2007	
21198/zz002knx9b	creation	2020	
21198/zz002jxz7z	creation	11/13/2014	
21198/zz0008zj1f	creation	July 17, 1987-Nov. 6, 1987	
21198/zz002kg1t9	creation	2015-2016	
21198/zz002khbbv	creation	June 6, 2013	
21198/zz002kbrjh	creation	2012-2017	
21198/zz002kftpw	creation	2019	
21198/zz002k7j84	creation	2016	
21198/zz002hkjw3	creation	2013-2015	
21198/zz002kdgs5	creation	2018	
21198/zz002jb3ng	creation	2014-15	
21198/zz002k6rk7	creation	2015	
21198/zz002kdk9c	creation	2018	
21198/zz002kdzg8	creation	2019-2020	
21198/zz002kf2zd	creation	2019	
21198/zz002kdm69	creation	2018	
21198/zz002kds6q	creation	2019-2020	
21198/zz002knz7s	creation	2019	
21198/zz002knzgd	creation	2020	
21198/zz002knzhx	creation	2020	
21198/zz002knb73	creation	2019	
21198/zz002knb94	creation	2020	
21198/zz002knzfw	creation	2020	
21198/zz002knbbn	creation	2019	
21198/zz002knnxs	creation	2019	
21198/zz002knp5w	creation	2020	
21198/zz002khdxm	creation	2020	
21198/zz002kfh06	creation	2019	
21198/zz002kfgnj	creation	2019	
21198/zz002kfh3r	creation	2019	
21198/zz002kdhsn	creation	2013	
21198/zz002kmp3d	creation	2020	
21198/zz002kg4jm	creation	2019	
21198/zz000900sz	creation	1970	
21198/zz002knbk8	creation	2019	
21198/zz002kfgm1	creation	2018	
21198/zz002kmp2w	creation	2020	
21198/zz002kd22h	creation	2018	
21198/zz002kd64g	creation	2018	
21198/zz002kn0r1	creation	2005	
21198/zz002kmc32	creation	2004	
21198/zz002kmp7g	creation	2020	
21198/zz002knr29	creation	2020	
21198/zz002knpq5	creation	2020	
21198/zz002knx4r	creation	2019	
21198/zz002k6rf5	creation	2015	
21198/zz002knrwq	creation	2020	
21198/zz002knrzr	creation	2019	
21198/zz002knr6c	creation	2019	
21198/zz002knzjf	creation	2020	
21198/zz002knnvr	creation	2019	
21198/zz002knb8m	creation	2020	
21198/zz002kcqzp	creation	1993-94	
21198/zz002kp3jt	creation	2019	
21198/zz002knv6t	creation	2020	
21198/zz002knrq4	creation	2019	
21198/zz002kp312	creation	2019	
21198/zz002knp7x	creation	2020	
21198/zz002knpgj	creation	2020	
21198/zz002kns18	creation	2020	
21198/zz002kp3f8	creation	2019	
21198/zz002k31qt	creation	2013	
21198/zz002kc3js	creation	2016	
21198/zz002kcd0v	creation	2017	
21198/zz002kfkfw	creation	2019	
21198/zz002kbrrm	creation	2009	
21198/zz002knbh7	creation	2020	
21198/zz002knbjr	creation	2020	
21198/zz002knnsq	creation	2020	
21198/zz002knqt6	creation	2019	
21198/zz002knqw7	creation	2020	
21198/zz002kdzmb	creation	2019	
21198/zz002knbms	creation	2020	
21198/zz002knvnj	creation	2020	
21198/zz002knvkh	creation	2020	
21198/zz002knp9z	creation	2020	
21198/zz002knqm3	creation	2020	
21198/zz002knrpm	creation	2020	
21198/zz002knv9c	creation	2020	
21198/zz002knr4b	creation	2020	
21198/zz002kfh1q	creation	2019	
21198/zz002k6ttt	creation	2015	
21198/zz002kfgp2	creation	2018-2019	
21198/zz0009gknc	creation	2007	
21198/zz002knbtw	creation	2019	
21198/zz002knx37	creation	2020	
21198/zz002knx6s	creation	2019	
21198/zz002kf350	creation	2019	
21198/zz002kf3rs	creation	2019-2020	
21198/zz002kd210	creation	2018	
21198/zz002kgxh6	creation	2019	
21198/zz002knxbv	creation	2020	
21198/zz002knp1t	creation	2020	
21198/zz002knp3v	creation	2020	
21198/zz002knvqk	creation	2020	
21198/zz002knr9x	creation	2020	
21198/zz002kdkkh	creation	2018	
21198/zz002knvhg	creation	2020	
21198/zz002kfh27	creation	2019	
21198/zz002knrcz	creation	2019	
21198/zz002knrf0	creation	2020	
21198/zz002knrjj	creation	2019	
21198/zz002kf3xc	creation	2019-2020	
21198/zz002kmp4x	creation	2020	
21198/zz002kmp5f	creation	2020	
21198/zz002knrmk	creation	2020	
21198/zz002kp3c7	creation	2020	
21198/zz002knqj2	creation	2020	
21198/zz002knqqn	creation	2020	
21198/zz0017sn45	creation	2007	
21198/zz002k7wvr	creation	2016	
21198/zz002kd0c6	creation	2017-18	
21198/zz002k7gfr	creation	2015	
21198/zz002k7gmb	creation	2016	
21198/zz002k7j00	creation	2015-16	
21198/zz002kc0qx	creation	2016	
21198/zz002kcdkn	creation	2017	
21198/zz002kcp17	creation	2017	
21198/zz002kcs1p	creation	2017	
21198/zz002kczw1	creation	2017	
21198/zz002kdm06	creation	2018	
21198/zz002kdzd7	creation	2019	
21198/zz002jb50m	creation	2011	
21198/zz002kk0sn	creation	2020	
21198/zz002kfh48	creation	2019	
21198/zz002kmp6z	creation	2020	
21198/zz002knbdp	creation	2020	
21198/zz002knbf6	creation	2019	
21198/zz002knbgq	creation	2020	
21198/zz002knbsc	creation	2020	
21198/zz002knbvd	creation	2019	
21198/zz002kfjr2	creation	2019-2020	
21198/zz002knr08	creation	2020	
21198/zz002km83m	creation	2020	
21198/zz002knx16	creation	2019	
21198/zz002knx2q	creation	2019	
21198/zz002knx58	creation	2019	
