ARK	TYPE	VALUE	SOURCE
21198/zz0008z797	other	Paul Ziffren: California Democrat	
21198/zz0008z7br	other	Pew Scholar in the Biomedical Sciences: W. Ian Lipkin	
21198/zz0008z7c8	other	Changing Perspectives in Physical Education	
21198/zz0008z7ds	other	The Memoirs of William Jarvis Carr	
21198/zz0008z7f9	other	Oscar Lawler: Los Angeles Attorney	
21198/zz0008z7gt	other	Looking Back at Sixty: Recollections of Lawrence Clark Powell, Librarian, Teacher, and Writer	
21198/zz0008z7hb	other	Teacher, Researcher, and Administrator	
21198/zz0008z7jv	other	Chequered Career: Scotland to UCLA	
21198/zz0008z7mw	other	The Graduate School of Management at UCLA: 1948-1968	
21198/zz0008z7nd	other	Professional Management Education at UCLA: The Genesis and the Flowering, 1922-1970	
21198/zz0008z7px	other	Campus and Urban Architecture	
21198/zz0008z7qf	other	Preliminary Studies: The California Water Plan	
21198/zz0008z7rz	other	Safeguarding Civil Liberties	
21198/zz0008z7sg	other	Enriching the Cultural Life of Los Angeles	
21198/zz0008z7t0	other	You Don't Choose Your Friends: The Memoirs of Herbert Knott Sorrell	
21198/zz0008z7vh	other	The Development of Folklore Studies at UCLA	
21198/zz0008z7xj	other	UCLA Institute of Industrial Relations	
21198/zz0008z7z2	other	CDC Officer: 1953-1965	
21198/zz0008z802	other	Primitive Painter of the West	
21198/zz0008z81k	other	Riverside County Water Pioneer	
21198/zz0008z823	other	Collecting Rare Books and Manuscripts for UCLA	
21198/zz0008z844	other	Expanding Student Services at UCLA	
21198/zz0008z865	other	The UCLA Library School	
21198/zz0008z87p	other	Alumni Officer and University Regent	
21198/zz0008z886	other	Southwest Artist and Educator	
21198/zz0008z89q	other	My UCLA Chancellorship: An Utterly Candid View	
21198/zz0008z8b7	other	Education of a Bibliophile	
21198/zz0008z8cr	other	The Way It Was: Fifty Years in the Southern California Book Trade	
21198/zz0008z8d8	other	Anthropologist and Educator	
21198/zz0008z8fs	other	The Orchestration of a Composer's Life	
21198/zz0008z8g9	other	Emigré Life: Munich, Berlin, Sanary, Pacific Palisades	
21198/zz0008z8ht	other	Of Art and Exhibitions	
21198/zz0008z8jb	other	Pasadena, the Pricketts, and Their Playhouse	
21198/zz0008z8kv	other	The Recollections of Harry L. Lewis	
21198/zz0008z8mc	other	Character Parts and Community Challenges	
21198/zz0008z8nw	other	Curtain Up! The Revival of the Pasadena Playhouse	
21198/zz0008z8pd	other	Remembering the Pasadena Playhouse	
21198/zz0008z8qx	other	Dean of Graduate Deans: Champion of Arts and Humanities	
21198/zz0008z8rf	other	Scene Change, Role Change	
21198/zz0008z8sz	other	Eric Zeisl: His Life and Music	
21198/zz0008z8tg	other	UCLA Dean of Undergraduates	
21198/zz0008z8v0	other	From Land Titles to Book Titles	
21198/zz0008z8wh	other	Distinguished Alumna	
21198/zz0008z8zj	other	The Houston Freedom Ride	
21198/zz0008z90j	other	Los Angeles Art Community: Group Portrait, Oliver Andrews	
21198/zz0008z912	other	Los Angeles Art Community: Group Portrait, Karl Benjamin	
21198/zz0008z92k	other	Los Angeles Art Community: Group Portrait, Edward Biberman	
21198/zz0008z933	other	Los Angeles Art Community: Group Portrait, Hans Burkhardt	
21198/zz0008z94m	other	Los Angeles Art Community: Group Portrait, James Byrnes	
21198/zz0008z954	other	Los Angeles Art Community: Group Portrait, Tony Delap	
21198/zz0008z96n	other	Los Angeles Art Community: Group Portrait, William Dole	
21198/zz0008z975	other	Los Angeles Art Community: Group Portrait, Leonard Edmondson	
21198/zz0008z98p	other	Los Angeles Art Community: Group Portrait, Jules Engel	
21198/zz0008z996	other	Los Angeles Art Community: Group Portrait, Connor Everts	
21198/zz0008z9bq	other	A. E. Van Vogt	
21198/zz0008z9c7	other	Los Angeles Art Community: Group Portrait, Claire Falkenstein	
21198/zz0008z9dr	other	Los Angeles Art Community: Group Portrait, Lorser Feitelson	
21198/zz0008z9f8	other	Los Angeles Art Community: Group Portrait, Robert Irwin	
21198/zz0008z9gs	other	Los Angeles Art Community: Group Portrait, Herbert Jepson	
21198/zz0008z9h9	other	Los Angeles Art Community: Group Portrait, Matsumi Kanemitsu	
21198/zz0008z9jt	other	Los Angeles Art Community: Group Portrait, Paul Kantor	
21198/zz0008z9kb	other	Los Angeles Art Community: Group Portrait, Corita Kent	
21198/zz0008z9mv	other	Los Angeles Art Community: Group Portrait, Edward Kienholz	
21198/zz0008z9nc	other	Los Angeles Art Community: Group Portrait, Felix Landau	
21198/zz0008z9pw	other	Recollections of J. R. Deason	
21198/zz0008z9qd	other	Los Angeles Art Community: Group Portrait, Helen Lundeberg	
21198/zz0008z9rx	other	Los Angeles Art Community: Group Portrait, John McLaughlin	
21198/zz0008z9sf	other	Los Angeles Art Community: Group Portrait, Lee Mullican	
21198/zz0008z9tz	other	Los Angeles Art Community: Group Portrait, Millard Sheets	
21198/zz0008z9vg	other	Los Angeles Art Community: Group Portrait, Alfred Stendahl	
21198/zz0008z9w0	other	Los Angeles Art Community: Group Portrait, Howard Warshaw	
21198/zz0008z9xh	other	Los Angeles Art Community: Group Portrait, June Wayne	
21198/zz0008z9z1	other	Los Angeles Art Community: Group Portrait, Emerson Woelffer	
21198/zz0008zb01	other	Muses and Lexicons	
21198/zz0008zb1j	other	Seven Voices from Synanon	
21198/zz0008zb22	other	California Bibliographers: Father and Son	
21198/zz0008zb3k	other	Opera Potpourri	
21198/zz0008zb43	other	International Manager of Soloists and Groups	
21198/zz0008zb5m	other	Liberal Perspectives	
21198/zz0008zb64	other	The Natural History of a Los Angeles Typesticker	
21198/zz0008zb7n	other	Undergraduate Education at UCLA	
21198/zz0008zb9p	other	Nobel Laureate	
21198/zz0008zbb6	other	Tradition's Chains Have Bound Us	
21198/zz0008zbd7	other	Books and the Imagination: Fifty Years of Rare Books	
21198/zz0008zbg8	other	Republican Activism: The California Republican Assembly and Ronald Reagan	
21198/zz0008zbhs	other	Christian Advocacy and Labor Strife in Hollywood	
21198/zz0008zbj9	other	More Than Just an Actor: The Early Campaigns of Ronald Reagan	
21198/zz0008zbkt	other	Private Dimensions and Public Images: The Early Political Career of Ronald Reagan	
21198/zz0008zbmb	other	Securing Liberal Legislation during the Reagan Administration	
21198/zz0008zbnv	other	New Arenas of Black Influence	
21198/zz0008zbpc	other	Tax Reform and Professionalizing the Los Angeles County Assessor's Office	
21198/zz0008zbqw	other	A Lifetime in Law Enforcement	
21198/zz0008zbrd	other	My First Forty Years in California Politics, 1922-1962	
21198/zz0008zbsx	other	Generous Teacher, Gracious Benefactor	
21198/zz0008zbtf	other	We Must Go Farther Yet	
21198/zz0008zbvz	other	Growing with the Museum of Cultural History	
21198/zz0008zbwg	other	Pacific Coast Shipmaster	
21198/zz0008zbx0	other	Academic Life and Governance in the University of California	
21198/zz0008zbzh	other	Honorable in All Things: The Memoirs of Carey McWilliams	
21198/zz0008zc0h	other	I Am the Sum of My Actions	
21198/zz0008zc11	other	The Citizen Writer in Retrospect	
21198/zz0008zc2j	other	Coaching and Training at Home and Abroad	
21198/zz0008zc32	other	Collecting, Sharing, and Promoting Contemporary Art in California	
21198/zz0008zc4k	other	So Brief the Time	
21198/zz0008zc53	other	Reed Scott: Reminiscences of My Father	
21198/zz0008zc6m	other	Mr. Light Opera: A Cavalcade of Forty Years in Musical Theater	
21198/zz0008zc74	other	Among the Plants of the Earth	
21198/zz0008zc8n	other	Collections Take Shape When Personalities Are Attached	
21198/zz0008zc95	other	Surgeon and Bibliophile	
21198/zz0008zcbp	other	An Exceptional Man for Exceptional Challenges	
21198/zz0008zcc6	other	Crusader in Public Service	
21198/zz0008zcdq	other	Impressions from the Castle Press	
21198/zz0008zcf7	other	All the Lights the Light	
21198/zz0008zcgr	other	Creating the UCLA Department of Dance	
21198/zz0008zch8	other	Devoted Alumnus: John B. Jackson	
21198/zz0008zcjs	other	Reflections of Guy Endore	
21198/zz0008zcmt	other	Law School Modernizer	
21198/zz0008zcnb	other	To Tell the Truth	
21198/zz0008zcpv	other	Patient Persuader	
21198/zz0008zcqc	other	At the Ferus Gallery	
21198/zz0008zcsd	other	Forty Years Defending the Constitution	
21198/zz0008zctx	other	Approaches to Art Collecting	
21198/zz0008zcwz	other	The Jackson Freedom Ride	
21198/zz0008zd00	other	Principled Opponent of War	
21198/zz0008zd1h	other	Serving the UCLA Art Public	
21198/zz0008zd21	other	Nobel Prize-Winning Economist	
21198/zz0008zd3j	other	Composer of American Music	
21198/zz0008zd42	other	A Dedication to Sharing	
21198/zz0008zd5k	other	Pasadena Playhouse Pioneer	
21198/zz0008zd63	other	Growing Is Part of the Concept	
21198/zz0008zd7m	other	Baseball and Social Conscience	
21198/zz0008zd84	other	University Extension: A History	
21198/zz0008zd9n	other	The Impossible Dream	
21198/zz0008zdb5	other	“Mr. Geophysics”	
21198/zz0008zdcp	other	Days and Nights of Juliet	
21198/zz0008zdfq	other	The California Ranch House	
