ARK	TYPE	VALUE	SOURCE
21198/zz0008z797		1913-1991	
21198/zz0008z7br		1952-	
21198/zz0008z7c8		1895-1980	
21198/zz0008z7ds		1879-1959	
21198/zz0008z7f9		1875-1966	
21198/zz0008z7gt		1906-	
21198/zz0008z7hb		1893-1974	
21198/zz0008z7jv		1897-1984	
21198/zz0008z7mw		1909-1979	
21198/zz0008z7nd		1905-1994	
21198/zz0008z7px		1904-1977	
21198/zz0008z7qf		1925-	
21198/zz0008z7rz		1909-1975	
21198/zz0008z7sg		1914-	
21198/zz0008z7t0		1897-1974	
21198/zz0008z7vh		1907-1986	
21198/zz0008z7xj		1916-	
21198/zz0008z7z2		1924-	
21198/zz0008z802		1888-1966	
21198/zz0008z81k		1893-1983	
21198/zz0008z823		1906-1992	
21198/zz0008z844		1917-1993	
21198/zz0008z87p		1905-1986	
21198/zz0008z886		1894-1979	
21198/zz0008z89q		1916-1994	
21198/zz0008z8b7		1915-1995	
21198/zz0008z8cr		1901-1991	
21198/zz0008z8d8		1901-1985	
21198/zz0008z8fs		1892-1972	
21198/zz0008z8g9		1891-1986	
21198/zz0008z8ht		1902-1986	
21198/zz0008z8jb		1905-1992	
21198/zz0008z8kv		1883-1963	
21198/zz0008z8mc		1914-1976	
21198/zz0008z8nw		1928-	
21198/zz0008z8pd		1889-1980	
21198/zz0008z8qx		1895-1986	
21198/zz0008z8rf		1900-1989	
21198/zz0008z8sz		1906-1987	
21198/zz0008z8tg		1892-1988	
21198/zz0008z8v0		1891-1972	
21198/zz0008z8wh		1904-	
21198/zz0008z8zj		1939-	
21198/zz0008z90j		1925-1978	
21198/zz0008z912		1925-	
21198/zz0008z92k		1904-1986	
21198/zz0008z933		1904-1994	
21198/zz0008z94m		1917-	
21198/zz0008z954		1927-	
21198/zz0008z96n		1917-1983	
21198/zz0008z975		1916-	
21198/zz0008z98p		1918-	
21198/zz0008z996		1928-	
21198/zz0008z9bq		1912-	
21198/zz0008z9c7		1908-1997	
21198/zz0008z9dr		1898-1978	
21198/zz0008z9f8		1928-	
21198/zz0008z9gs		1908-1993	
21198/zz0008z9h9		1922-1992	
21198/zz0008z9jt		1919-	
21198/zz0008z9kb		1918-1986	
21198/zz0008z9mv		1927-1994	
21198/zz0008z9nc		1924-	
21198/zz0008z9qd		1908-	
21198/zz0008z9rx		1898-1976	
21198/zz0008z9sf		1919-1998	
21198/zz0008z9tz		1907-1989	
21198/zz0008z9vg		1915-	
21198/zz0008z9w0		1920-1977	
21198/zz0008z9xh		1918-1976	
21198/zz0008z9z1		1914-	
21198/zz0008zb01		1894-1995	
21198/zz0008zb22		1895-1993	
21198/zz0008zb3k		1907-1987	
21198/zz0008zb43		1896-1987	
21198/zz0008zb5m		1915-	
21198/zz0008zb64		1907-	
21198/zz0008zb7n		1902-1985	
21198/zz0008zb9p		1909-1981	
21198/zz0008zbb6		1914-	
21198/zz0008zbd7		1902-1987	
21198/zz0008zbg8		1916-	
21198/zz0008zbhs		1905-	
21198/zz0008zbj9		1930-	
21198/zz0008zbkt		1908-1996	
21198/zz0008zbmb		1932-	
21198/zz0008zbnv		1932-	
21198/zz0008zbpc		1924-1986	
21198/zz0008zbqw		1918-1989	
21198/zz0008zbrd		1901-1976	
21198/zz0008zbsx		1913-	
21198/zz0008zbtf		1911-1991	
21198/zz0008zbvz		1937-	
21198/zz0008zbwg		1889-1995	
21198/zz0008zbx0		1916-	
21198/zz0008zbzh		1905-1980	
21198/zz0008zc0h		1914-1978	
21198/zz0008zc11		1908-1985	
21198/zz0008zc2j		1903-1988	
21198/zz0008zc32		1918-1991	
21198/zz0008zc4k		1879-1966	
21198/zz0008zc6m		1898-1990	
21198/zz0008zc74		1906-1995	
21198/zz0008zc8n		1924-	
21198/zz0008zc95		1893-1980	
21198/zz0008zcbp		1896-1981	
21198/zz0008zcc6		1889-1986	
21198/zz0008zcdq		1902-1980	
21198/zz0008zcf7		1906-	
21198/zz0008zcgr		1904-1998	
21198/zz0008zch8		1905-1995	
21198/zz0008zcjs		1900-1970	
21198/zz0008zcmt		1919-	
21198/zz0008zcnb		1901-1990	
21198/zz0008zcpv		1902-1992	
21198/zz0008zcqc		1930-	
21198/zz0008zcsd		1917-	
21198/zz0008zctx		1918-	
21198/zz0008zcwz		1917-	
21198/zz0008zd00		1887-1974	
21198/zz0008zd1h		1918-	
21198/zz0008zd21		1899-1992	
21198/zz0008zd3j		1898-1979	
21198/zz0008zd5k		1886-1960	
21198/zz0008zd63		1910-1995	
21198/zz0008zd7m		1911-	
21198/zz0008zd84		1907-1976	
21198/zz0008zd9n		1917-1998	
21198/zz0008zdb5		1896-1978	
21198/zz0008zdcp		1922-1991	
21198/zz0008zdfq		1908-1989	
21198/zz0008zdhr		1932-	
21198/zz0008zdj8		1909-	
21198/zz0008zdks		1907-1986	
21198/zz0008zdm9		1934-	
21198/zz0008zdnt		1879-1976	
21198/zz0008zdpb		1891-1989	
21198/zz0008zdqv		1899-1991	
21198/zz0008zdrc		1921-	
21198/zz0008zdsw		1912-1989	
21198/zz0008zdtd		1907-	
21198/zz0008zdvx		1913-	
21198/zz0008zdwf		1911-1984	
21198/zz0008zdxz		1908-	
21198/zz0008zdzg		1923-1998	
21198/zz0008zf0g		1914-1990	
21198/zz0008zf2h		1910-1999	
21198/zz0008zf31		1900-1988	
21198/zz0008zf4j		1900-1993	
21198/zz0008zf52		1902-1980	
21198/zz0008zf73		1913-	
21198/zz0008zf8m		1920-	
21198/zz0008zfbn		1903-1990	
21198/zz0008zfc5		1939-	
21198/zz0008zff6		1907-1991	
21198/zz0008zfgq		1911-1994	
21198/zz0008zfh7		1901-1989	
21198/zz0008zfjr		1910-1992	
21198/zz0008zfn9		1896-1984	
21198/zz0008zfpt		1915-1985	
21198/zz0008zfqb		1917-	
21198/zz0008zfrv		1900-1966	
21198/zz0008zfsc		1911-1990	
21198/zz0008zftw		1899-1990	
21198/zz0008zfwx		1909-1998	
21198/zz0008zfxf		1912-	
21198/zz0008zfzz		1912-	
21198/zz0008zg0z		1884-1976	
21198/zz0008zg1g		1897-1989	
21198/zz0008zg20		1921-	
21198/zz0008zg3h		1902-1995	
21198/zz0008zg41		1920-	
21198/zz0008zg5j		1910-	
21198/zz0008zg62		1905-1989	
21198/zz0008zg7k		1892-1988	
21198/zz0008zg83		1914-1990	
21198/zz0008zg9m		1912-	
21198/zz0008zgb4		1913-	
21198/zz0008zgcn		1911-	
21198/zz0008zgd5		1917-	
21198/zz0008zgfp		1921-	
21198/zz0008zgg6		1902-1988	
21198/zz0008zghq		1881-1975	
21198/zz0008zgj7		1905-1994	
21198/zz0008zgkr		1913-	
21198/zz0008zgm8		1911-1986	
21198/zz0008zgns		1923-	
21198/zz0008zgp9		1910-	
21198/zz0008zgqt		1900-1988	
21198/zz0008zgrb		1898-1990	
21198/zz0008zgsv		1918-	
21198/zz0008zgtc		1913-	
21198/zz0008zgvw		1904-1988	
21198/zz0008zgwd		1880-1976	
21198/zz0008zgxx		1889-1981	
21198/zz0008zgzf		1913-1998	
21198/zz0008zh1z		1916-	
21198/zz0008zh2g		1916-	
21198/zz0008zh30		1915-1987	
21198/zz0008zh4h		1903-1995	
21198/zz0008zh51		1925-	
21198/zz0008zh6j		1897-1995	
21198/zz0008zh72		1911-	
21198/zz0008zh8k		1915-	
21198/zz0008zh93		1900-1987	
21198/zz0008zhbm		1898-1985	
21198/zz0008zhc4		1897-1993	
