FILE_GROUP_TITLE	CONTENT_TYPE	ITEM_ARK	FILE_USE	SEQ	FILE_SIZE	CREATE_DATE	FILE_LOCATION	FILE_NAME
PDF	PDF	21198/zz0008z954	Submaster	5	695460	2015-11-13 13:44:33	database	21198-zz0008z954-5-submaster.pdf
PDF	PDF	21198/zz0008z954	Master	5	695460	2015-11-13 13:44:33	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z954-5-master.pdf	21198-zz0008z954-5-master.pdf
Text Biography	Text	21198/zz0008z96n	Submaster	1	15273	2011-04-06 10:59:41	database	21198-zz0008z96n-1-submaster.xml
Text Biography	Text	21198/zz0008z96n	Master	1	15273	2011-04-06 10:59:41	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z96n-1-master.xml	21198-zz0008z96n-1-master.xml
Text Interview History	Text	21198/zz0008z96n	Master	2	4163	2011-04-06 10:59:57	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z96n-2-master.xml	21198-zz0008z96n-2-master.xml
Text Interview History	Text	21198/zz0008z96n	Submaster	2	4163	2011-04-06 10:59:57	database	21198-zz0008z96n-2-submaster.xml
Text Transcript	Text	21198/zz0008z96n	Submaster	3	258464	2011-04-06 11:00:13	database	21198-zz0008z96n-3-submaster.xml
Text Transcript	Text	21198/zz0008z96n	Master	3	258464	2011-04-06 11:00:13	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z96n-3-master.xml	21198-zz0008z96n-3-master.xml
Text Transcript	Text	21198/zz0008z96n	Submaster	4	298248	2011-04-06 11:00:29	database	21198-zz0008z96n-4-submaster.html
Text Transcript	Text	21198/zz0008z96n	Master	4	298248	2011-04-06 11:00:29	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z96n-4-master.html	21198-zz0008z96n-4-master.html
PDF	PDF	21198/zz0008z96n	Submaster	5	511308	2015-11-13 13:49:24	database	21198-zz0008z96n-5-submaster.pdf
PDF	PDF	21198/zz0008z96n	Master	5	511308	2015-11-13 13:49:24	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z96n-5-master.pdf	21198-zz0008z96n-5-master.pdf
Text Interview History	Text	21198/zz0008z975	Master	2	3350	2011-08-24 12:15:50	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z975-2-master.xml	21198-zz0008z975-2-master.xml
Text Interview History	Text	21198/zz0008z975	Submaster	2	3350	2011-08-24 12:15:50	database	21198-zz0008z975-2-submaster.xml
Text Transcript	Text	21198/zz0008z975	Master	3	366522	2011-08-24 12:16:00	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z975-3-master.xml	21198-zz0008z975-3-master.xml
Text Transcript	Text	21198/zz0008z975	Submaster	3	366522	2011-08-24 12:16:00	database	21198-zz0008z975-3-submaster.xml
Text Transcript	Text	21198/zz0008z975	Submaster	4	477622	2011-08-24 12:16:08	database	21198-zz0008z975-4-submaster.html
