FILE_GROUP_TITLE	CONTENT_TYPE	ITEM_ARK	FILE_USE	SEQ	FILE_SIZE	CREATE_DATE	FILE_LOCATION	FILE_NAME
PDF	PDF	21198/zz0008z7t0	Submaster	1	21974130	2014-04-28 14:22:40	database	21198-zz0008z7t0-1-submaster.pdf
PDF	PDF	21198/zz0008z7t0	Master	1	21974130	2014-04-28 14:22:40	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z7t0-1-master.pdf	21198-zz0008z7t0-1-master.pdf
Text Biography	Text	21198/zz0008z802	Submaster	1	7408	2011-08-01 11:30:21	database	21198-zz0008z802-1-submaster.xml
Text Biography	Text	21198/zz0008z802	Master	1	7408	2011-08-01 11:30:21	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z802-1-master.xml	21198-zz0008z802-1-master.xml
Text Interview History	Text	21198/zz0008z802	Submaster	2	2373	2011-08-01 11:31:44	database	21198-zz0008z802-2-submaster.xml
Text Interview History	Text	21198/zz0008z802	Master	2	2373	2011-08-01 11:31:44	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z802-2-master.xml	21198-zz0008z802-2-master.xml
Text Transcript	Text	21198/zz0008z802	Submaster	3	1537689	2011-08-01 11:31:59	database	21198-zz0008z802-3-submaster.xml
Text Transcript	Text	21198/zz0008z802	Master	3	1537689	2011-08-01 11:31:59	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z802-3-master.xml	21198-zz0008z802-3-master.xml
Text Transcript	Text	21198/zz0008z802	Master	4	1839274	2011-08-01 11:32:18	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z802-4-master.html	21198-zz0008z802-4-master.html
Text Transcript	Text	21198/zz0008z802	Submaster	4	1839274	2011-08-01 11:32:18	database	21198-zz0008z802-4-submaster.html
PDF	PDF	21198/zz0008z802	Master	5	1682957	2015-11-20 16:01:37	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z802-5-master.pdf	21198-zz0008z802-5-master.pdf
PDF	PDF	21198/zz0008z802	Submaster	5	1682957	2015-11-20 16:01:37	database	21198-zz0008z802-5-submaster.pdf
PDF	PDF	21198/zz0008z81k	Submaster	1	203012936	2013-12-20 11:56:47	database	21198-zz0008z81k-1-submaster.pdf
PDF	PDF	21198/zz0008z81k	Master	1	203012936	2013-12-20 11:56:47	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z81k-1-master.pdf	21198-zz0008z81k-1-master.pdf
PDF	PDF	21198/zz0008z823	Submaster	1	5560594	2013-12-17 12:56:19	database	21198-zz0008z823-1-submaster.pdf
PDF	PDF	21198/zz0008z823	Master	1	5560594	2013-12-17 12:56:19	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z823-1-master.pdf	21198-zz0008z823-1-master.pdf
Text Interview History	Text	21198/zz0008z886	Master	2	4296	2011-06-09 10:17:51	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z886-2-master.xml	21198-zz0008z886-2-master.xml
Text Interview History	Text	21198/zz0008z886	Submaster	2	4296	2011-06-09 10:17:51	database	21198-zz0008z886-2-submaster.xml
Text Transcript	Text	21198/zz0008z886	Master	3	1358386	2011-06-09 10:18:02	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z886-3-master.xml	21198-zz0008z886-3-master.xml
Text Transcript	Text	21198/zz0008z886	Submaster	3	1358386	2011-06-09 10:18:02	database	21198-zz0008z886-3-submaster.xml
Text Transcript	Text	21198/zz0008z886	Master	4	1789927	2011-06-09 10:18:15	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z886-4-master.html	21198-zz0008z886-4-master.html
Text Transcript	Text	21198/zz0008z886	Submaster	4	1789927	2011-06-09 10:18:15	database	21198-zz0008z886-4-submaster.html
PDF	PDF	21198/zz0008z886	Submaster	5	1542075	2015-11-16 15:17:35	database	21198-zz0008z886-5-submaster.pdf
PDF	PDF	21198/zz0008z886	Master	5	1542075	2015-11-16 15:17:35	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z886-5-master.pdf	21198-zz0008z886-5-master.pdf
Text Interview History	Text	21198/zz0008z89q	Submaster	2	4485	2011-03-15 16:18:22	database	21198-zz0008z89q-2-submaster.xml
Text Interview History	Text	21198/zz0008z89q	Master	2	4485	2011-03-15 16:18:22	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z89q-2-master.xml	21198-zz0008z89q-2-master.xml
Text Transcript	Text	21198/zz0008z89q	Master	3	667560	2011-03-15 16:20:28	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z89q-3-master.xml	21198-zz0008z89q-3-master.xml
Text Transcript	Text	21198/zz0008z89q	Submaster	3	667560	2011-03-15 16:20:28	database	21198-zz0008z89q-3-submaster.xml
Text Transcript	Text	21198/zz0008z89q	Master	4	821508	2011-03-15 16:20:39	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z89q-4-master.html	21198-zz0008z89q-4-master.html
Text Transcript	Text	21198/zz0008z89q	Submaster	4	821508	2011-03-15 16:20:39	database	21198-zz0008z89q-4-submaster.html
Text Biography	Text	21198/zz0008z8b7	Master	1	3307	2010-03-24 11:28:48	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8b7-1-master.xml	21198-zz0008z8b7-1-master.xml
Text Biography	Text	21198/zz0008z8b7	Submaster	1	3307	2010-03-24 11:28:48	database	21198-zz0008z8b7-1-submaster.xml
Text Interview History	Text	21198/zz0008z8b7	Submaster	3	3748	2010-03-24 11:29:28	database	21198-zz0008z8b7-3-submaster.xml
Text Interview History	Text	21198/zz0008z8b7	Master	3	3748	2010-03-24 11:29:28	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8b7-3-master.xml	21198-zz0008z8b7-3-master.xml
Text Transcript	Text	21198/zz0008z8b7	Submaster	4	501711	2010-03-24 11:29:56	database	21198-zz0008z8b7-4-submaster.xml
Text Transcript	Text	21198/zz0008z8b7	Master	4	501711	2010-03-24 11:29:56	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8b7-4-master.xml	21198-zz0008z8b7-4-master.xml
Text Transcript	Text	21198/zz0008z8b7	Submaster	5	574152	2010-03-24 11:30:29	database	21198-zz0008z8b7-5-submaster.html
Text Transcript	Text	21198/zz0008z8b7	Master	5	574152	2010-03-24 11:30:29	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8b7-5-master.html	21198-zz0008z8b7-5-master.html
Text Biography	Text	21198/zz0008z8cr	Submaster	1	9097	2011-04-20 09:13:48	database	21198-zz0008z8cr-1-submaster.xml
Text Biography	Text	21198/zz0008z8cr	Master	1	9097	2011-04-20 09:13:48	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8cr-1-master.xml	21198-zz0008z8cr-1-master.xml
Text Interview History	Text	21198/zz0008z8cr	Master	2	3839	2011-04-20 09:13:57	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8cr-2-master.xml	21198-zz0008z8cr-2-master.xml
Text Interview History	Text	21198/zz0008z8cr	Submaster	2	3839	2011-04-20 09:13:57	database	21198-zz0008z8cr-2-submaster.xml
Text Transcript	Text	21198/zz0008z8cr	Submaster	3	1371524	2011-04-20 09:59:22	database	21198-zz0008z8cr-3-submaster.xml
Text Transcript	Text	21198/zz0008z8cr	Master	3	1371524	2011-04-20 09:59:22	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8cr-3-master.xml	21198-zz0008z8cr-3-master.xml
Text Transcript	Text	21198/zz0008z8cr	Submaster	4	1707586	2011-04-20 10:00:20	database	21198-zz0008z8cr-4-submaster.html
Text Transcript	Text	21198/zz0008z8cr	Master	4	1707586	2011-04-20 10:00:20	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8cr-4-master.html	21198-zz0008z8cr-4-master.html
PDF	PDF	21198/zz0008z8cr	Master	5	1540676	2015-11-20 12:34:35	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8cr-5-master.pdf	21198-zz0008z8cr-5-master.pdf
PDF	PDF	21198/zz0008z8cr	Submaster	5	1540676	2015-11-20 12:34:35	database	21198-zz0008z8cr-5-submaster.pdf
Text Biography	Text	21198/zz0008z8g9	Submaster	1	25821	2011-05-10 10:31:23	database	21198-zz0008z8g9-1-submaster.xml
Text Biography	Text	21198/zz0008z8g9	Master	1	25821	2011-05-10 10:31:23	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8g9-1-master.xml	21198-zz0008z8g9-1-master.xml
Text Interview History	Text	21198/zz0008z8g9	Submaster	2	5616	2011-05-10 10:31:54	database	21198-zz0008z8g9-2-submaster.xml
Text Interview History	Text	21198/zz0008z8g9	Master	2	5616	2011-05-10 10:31:54	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8g9-2-master.xml	21198-zz0008z8g9-2-master.xml
Text Transcript	Text	21198/zz0008z8g9	Master	3	4137469	2012-04-18 15:36:02	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8g9-3-master.xml	21198-zz0008z8g9-3-master.xml
Text Transcript	Text	21198/zz0008z8g9	Submaster	3	4137469	2012-04-18 15:36:02	database	21198-zz0008z8g9-3-submaster.xml
Text Transcript	Text	21198/zz0008z8g9	Master	4	4730996	2012-04-18 15:36:22	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8g9-4-master.html	21198-zz0008z8g9-4-master.html
Text Transcript	Text	21198/zz0008z8g9	Submaster	4	4730996	2012-04-18 15:36:22	database	21198-zz0008z8g9-4-submaster.html
PDF	PDF	21198/zz0008z8g9	Submaster	5	4469733	2015-11-20 12:48:13	database	21198-zz0008z8g9-5-submaster.pdf
PDF	PDF	21198/zz0008z8g9	Master	5	4469733	2015-11-20 12:48:13	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8g9-5-master.pdf	21198-zz0008z8g9-5-master.pdf
PDF	PDF	21198/zz0008z8jb	Submaster	1	145488893	2013-08-27 14:52:09	database	21198-zz0008z8jb-1-submaster.pdf
PDF	PDF	21198/zz0008z8jb	Master	1	145488893	2013-08-27 14:52:09	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8jb-1-master.pdf	21198-zz0008z8jb-1-master.pdf
PDF	PDF	21198/zz0008z8mc	Submaster	1	102834195	2013-07-19 13:09:53	database	21198-zz0008z8mc-1-submaster.pdf
PDF	PDF	21198/zz0008z8mc	Master	1	102834195	2013-07-19 13:09:53	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8mc-1-master.pdf	21198-zz0008z8mc-1-master.pdf
PDF	PDF	21198/zz0008z8nw	Submaster	1	50353545	2013-07-19 13:53:33	database	21198-zz0008z8nw-1-submaster.pdf
PDF	PDF	21198/zz0008z8nw	Master	1	50353545	2013-07-19 13:53:33	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8nw-1-master.pdf	21198-zz0008z8nw-1-master.pdf
Text Interview History	Text	21198/zz0008z8sz	Submaster	2	3719	2010-04-28 11:14:01	database	21198-zz0008z8sz-2-submaster.xml
Text Interview History	Text	21198/zz0008z8sz	Master	2	3719	2010-04-28 11:14:01	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8sz-2-master.xml	21198-zz0008z8sz-2-master.xml
Text Transcript	Text	21198/zz0008z8sz	Master	3	826875	2010-04-28 11:14:18	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8sz-3-master.xml	21198-zz0008z8sz-3-master.xml
Text Transcript	Text	21198/zz0008z8sz	Submaster	3	826875	2010-04-28 11:14:18	database	21198-zz0008z8sz-3-submaster.xml
Text Transcript	Text	21198/zz0008z8sz	Submaster	4	1043741	2010-04-28 11:14:49	database	21198-zz0008z8sz-4-submaster.html
