ARK	TYPE	VALUE	SOURCE
21198/zz0008z797	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7br	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7c8	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7ds	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z7f9	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z7gt	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7hb	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7jv	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7mw	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7nd	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7px	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7qf	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7rz	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7sg	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z7t0	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7vh	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z7xj	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z7z2	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z802	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z81k	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z823	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z844	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z865	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z87p	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z886	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z89q	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8b7	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8cr	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8d8	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8fs	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8g9	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8ht	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8jb	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8kv	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z8mc	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8nw	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8pd	copyrightStatus	Interviewee Retained Copyright	COHR
21198/zz0008z8qx	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8rf	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8sz	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8tg	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8v0	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8wh	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z8zj	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z90j	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z912	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z92k	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
21198/zz0008z933	rightsHolderName	Regents of the University of California, UCLA Library.	copyrightMD
