ARK	TYPE	VALUE	SOURCE
21198/zz0009025m	interviewee	Lindsay, Gilbert	local
21198/zz0008z7br	interviewee	Lipkin, W. Ian	local
21198/zz0008zrsq	interviewee	Lupski, James R.	local
21198/zz000rtg0z	interviewee	Lynch, Neil	local
21198/zz0008zt3b	interviewee	MacKinnon, Roderick	local
21198/zz0008zss6	interviewer	Maestrejuan, Andrea R.	local
21198/zz0008zt3b	interviewer	Maestrejuan, Andrea R.	local
21198/zz0008zc11	interviewee	Maltz, Albert	local
21198/zz0008zm60	interviewer	Mason, Karen Anne	local
21198/zz00090264	interviewee	Matthews, Charles H. $q (Charles Hearde), $d 1906-1985	local
21198/zz000962z6	interviewee	McCormick, Larry	local
21198/zz000rtg7k	interviewer	McHargue, Robert C.	local
21198/zz000rtg83	interviewer	McHargue, Robert C.	local
21198/zz000rtfrv	interviewer	McHargue, Robert C.	local
21198/zz0008z9rx	interviewee	McLaughlin, John	local
21198/zz0008zkn7	interviewee	Mellinkoff, Sherman M.	local
21198/zz00093stx	interviewee	Middleton, James	local
21198/zz0008z8tg	interviewee	Miller, Earl J.	local
21198/zz0008zxs4	interviewee	Mima, James	local
21198/zz0008z89q	interviewer	Mink, James V.	local
21198/zz000rtrfj	interviewer	Mink, James V.	local
21198/zz000901f8	interviewer	Mink, James V.	local
21198/zz0008z7jv	interviewer	Mink, James V.	local
21198/zz0008zpp6	interviewee	Moede, Helen Manz	local
21198/zz0008z96n	authorOfIntroduction	Moir, Alfred	local
21198/zz00093ssd	interviewee	Morton, Monte	local
21198/zz000902mb	interviewee	Moses, Ed	local
21198/zz0008zzcd	interviewee	Murdock, Steve	local
21198/zz000903f7	interviewee	Nathan, Robert L.	local
21198/zz0008zx8c	interviewee	Nestor, Barbara	local
21198/zz0015vc2b	authorOfIntroduction	Neugass, Henry David	local
21198/zz0009dgk0	interviewer	Novak, Steven J.	local
21198/zz0008zrhk	interviewer	Novak, Steven J.	local
21198/zz0008zs4c	interviewer	Novak, Steven J.	local
21198/zz0008zk71	interviewer	Nunis, Doyce B. Jr	local
21198/zz0008zc4k	interviewer	Nunis, Doyce B. Jr	local
21198/zz00090463	interviewee	Nutting, Myron C.	local
21198/zz0008zwsn	interviewee	O'Brien, Sheila	local
21198/zz0008zxh0	interviewer	Painter, Linda L.	local
21198/zz0008zcqc	interviewer	Phillips, Joann	local
21198/zz0008zw6v	interviewee	Post, Manning J.	local
21198/zz0008zsv7	interviewee	Powell, Mel	local
21198/zz0008zhk7	interviewer	Ratner, Joanne L.	local
21198/zz0008zj2z	interviewer	Ratner, Joanne L.	local
21198/zz0008zsk3	interviewer	Ratner, Joanne L.	local
21198/zz0008zn70	interviewer	Reese, Thomas F.	local
21198/zz0008znpq	interviewer	Reese, Thomas F.	local
21198/zz0008z7nd	interviewee	Robbins, George W.	local
21198/zz0008z8v0	interviewee	Robinson, W. W.	local
21198/zz0008zbvz	interviewer	Rogers, Marjorie J.	local
21198/zz000j43x5	interviewer	Rose, David A.	local
21198/zz0008zwcf	interviewee	Santillan, Richard A.	local
21198/zz0008zg1g	interviewee	Sayers, Frances Clarke	local
21198/zz00152bjs	interviewee	Sayle, Mrs. Harry I.	local
21198/zz0008z7qf	interviewer	Schippers, Donald J.	local
21198/zz0008ztsp	interviewer	Schippers, Donald J.	local
21198/zz00090400	interviewer	Schippers, Donald J.	local
21198/zz0008zgxx	interviewer	Schippers, Donald J.	local
21198/zz0008z7c8	interviewer	Schippers, Donald J.	local
21198/zz0008z802	interviewer	Schippers, Donald J.	local
21198/zz0015xdvm	interviewer	Schippers, Donald J.	local
