ARK	TYPE	VALUE	SOURCE
21198/zz002k7k4j	typeOfResource	moving image	MODS
21198/zz002kck8d	typeOfResource	moving image	MODS
21198/zz002k7k8m	typeOfResource	moving image	MODS
21198/zz002kc2d7	typeOfResource	Audio	COHR
21198/zz00096b97	typeOfResource	text	MODS
21198/zz000xd5tq	typeOfResource	text	MODS
21198/zz000j6wq2	typeOfResource	text	MODS
21198/zz000rwrt4	typeOfResource	text	MODS
21198/zz000rwrnj	typeOfResource	text	MODS
21198/zz000rwrw5	typeOfResource	text	MODS
21198/zz00095wb1	typeOfResource	text	MODS
21198/zz0009fmkc	typeOfResource	text	MODS
21198/zz0009fp54	typeOfResource	text	MODS
21198/zz0009fqmb	typeOfResource	text	MODS
21198/zz0009fnzj	typeOfResource	text	MODS
21198/zz0009fp33	typeOfResource	text	MODS
21198/zz0009fp4m	typeOfResource	text	MODS
21198/zz00097zr3	typeOfResource	text	MODS
21198/zz000j43q2	typeOfResource	text	MODS
21198/zz000rtfzz	typeOfResource	text	MODS
21198/zz000rtg7k	typeOfResource	text	MODS
21198/zz000952pm	typeOfResource	text	MODS
21198/zz000rtfrv	typeOfResource	text	MODS
21198/zz000955t4	typeOfResource	text	MODS
21198/zz000rtgb4	typeOfResource	text	MODS
21198/zz000j43gf	typeOfResource	text	MODS
21198/zz000j43rk	typeOfResource	text	MODS
21198/zz00097xx6	typeOfResource	text	MODS
21198/zz0009dgzp	typeOfResource	text	MODS
21198/zz0009hw1v	typeOfResource	text	MODS
21198/zz0009g03w	typeOfResource	text	MODS
21198/zz0009f509	typeOfResource	text	MODS
21198/zz0009f53v	typeOfResource	text	MODS
21198/zz00099h6f	typeOfResource	text	MODS
21198/zz00099pnk	typeOfResource	text	MODS
21198/zz0009dbk2	typeOfResource	text	MODS
21198/zz0009dgn1	typeOfResource	text	MODS
21198/zz0009dgpj	typeOfResource	text	MODS
21198/zz00097r2v	typeOfResource	text	MODS
21198/zz00098x4r	typeOfResource	text	MODS
21198/zz0009cm79	typeOfResource	text	MODS
21198/zz000990x2	typeOfResource	text	MODS
21198/zz000990zk	typeOfResource	text	MODS
21198/zz00099r7b	typeOfResource	text	MODS
21198/zz0009cm58	typeOfResource	text	MODS
21198/zz00098t49	typeOfResource	text	MODS
21198/zz0008z886	typeOfResource	text	MODS
21198/zz0015vc4c	typeOfResource	text	MODS
21198/zz0008zdqv	typeOfResource	text	MODS
21198/zz000j3xjm	typeOfResource	text	MODS
21198/zz0008z8ht	typeOfResource	text	MODS
21198/zz0008z8zj	typeOfResource	text	MODS
21198/zz0008zb01	typeOfResource	text	MODS
21198/zz0008zjr9	typeOfResource	text	MODS
