ARK	TYPE	VALUE	SOURCE
21198/zz00097zsm	level1	African American History	COHR
21198/zz000s9kx2	level1	African American History	COHR
21198/zz002dx7sf	level1	African American History	COHR
21198/zz0015t9hn	level1	African American History	COHR
21198/zz000nmdd8	level1	African American History	COHR
21198/zz00096t3w	level1	African American History	COHR
21198/zz00096t5x	level1	African American History	COHR
21198/zz0008zpnp	level1	African American History	COHR
21198/zz0008zszs	level1	African American History	COHR
21198/zz0008zxv5	level1	African American History	COHR
21198/zz0008zpr7	level1	African American History	COHR
21198/zz002kpktq	level1	African American History	COHR
21198/zz002kpbd4	level1	African American History	COHR
21198/zz002kq012	level1	African American History	COHR
21198/zz002kpbp8	level1	African American History	COHR
21198/zz002kprz6	level1	African American History	COHR
21198/zz002kpntp	level1	African American History	COHR
21198/zz002kpzw2	level1	African American History	COHR
21198/zz0008zrqp	level1	African American History	COHR
21198/zz00090285	level1	African American History	COHR
21198/zz0008zpqq	level1	African American History	COHR
21198/zz0008zrvr	level1	African American History	COHR
21198/zz000906kr	level1	African American History	COHR
21198/zz000903rw	level1	African American History	COHR
21198/zz002khbcc	level1	African American History	COHR
21198/zz002kcr8t	level1	African American History	COHR
21198/zz001d0rc0	level1	African American History	COHR
21198/zz0008zp80	level1	African American History	COHR
21198/zz0009fqqw	level1	African American History	COHR
21198/zz0008zr0t	level1	African American History	COHR
21198/zz0009fqnv	level1	African American History	COHR
21198/zz0008zmvt	level1	African American History	COHR
21198/zz002kcw77	level1	African American History	COHR
21198/zz002kd032	level1	African American History	COHR
21198/zz002kd7ss	level1	African American History	COHR
21198/zz002kd7t9	level1	African American History	COHR
21198/zz0008zp6z	level1	African American History	COHR
21198/zz0008zqmn	level1	African American History	COHR
21198/zz000905zz	level1	African American History	COHR
21198/zz0009d4h4	level1	African American History	COHR
21198/zz002kdg1s	level1	Iranian American History	COHR
21198/zz002k3bh2	level1	Iranian American History	COHR
21198/zz002kdffh	level1	Iranian American History	COHR
21198/zz002kdfqn	level1	Iranian American History	COHR
21198/zz002k3cbz	level1	Iranian American History	COHR
21198/zz002k3ccg	level1	Iranian American History	COHR
21198/zz002k3cp4	level1	Iranian American History	COHR
21198/zz002k3b7x	level1	Iranian American History	COHR
21198/zz002k3bn4	level1	Iranian American History	COHR
21198/zz000903f7	level2	Literature	COHR
21198/zz002kd5wc	level2	Literature	COHR
21198/zz002kd5st	level2	Literature	COHR
21198/zz0025mnzw	level1	Community History	COHR
21198/zz000rwrm1	level1	Community History	COHR
21198/zz000rwrp2	level1	Community History	COHR
21198/zz000rwrxp	level1	Community History	COHR
21198/zz002hjhm1	level1	Community History	COHR
21198/zz002hjzrc	level1	Community History	COHR
21198/zz00093stx	level1	Community History	COHR
21198/zz002d3jjd	level1	Community History	COHR
21198/zz000900qx	level1	Community History	COHR
21198/zz0008z8kv	level1	Community History	COHR
21198/zz001525rg	level1	Community History	COHR
21198/zz002j7508	level1	Community History	COHR
21198/zz002j75wq	level1	Community History	COHR
21198/zz002gg4wj	level1	Politics and Government	COHR
21198/zz002hdpc1	level1	Politics and Government	COHR
21198/zz0009g04d	level1	Politics and Government	COHR
21198/zz002hdpdj	level1	Politics and Government	COHR
21198/zz0008zw18	level1	Politics and Government	COHR
21198/zz0009061g	level1	Politics and Government	COHR
21198/zz0008zz8v	level1	Politics and Government	COHR
21198/zz000903wz	level1	Politics and Government	COHR
21198/zz0008zvn3	level1	Politics and Government	COHR
21198/zz0008z7ds	level1	Politics and Government	COHR
21198/zz0008zwm2	level1	Politics and Government	COHR
21198/zz0008zv7w	level1	Politics and Government	COHR
21198/zz0008zwkj	level1	Politics and Government	COHR
21198/zz0008zwg0	level1	Politics and Government	COHR
21198/zz0008zvdg	level1	Politics and Government	COHR
21198/zz0008zv29	level1	Politics and Government	COHR
21198/zz0008zwp3	level1	Politics and Government	COHR
21198/zz0008zh93	level1	Politics and Government	COHR
21198/zz000902tf	level1	Politics and Government	COHR
21198/zz0008zff6	level1	Politics and Government	COHR
21198/zz0008zx3s	level1	Politics and Government	COHR
21198/zz0008zbqw	level1	Politics and Government	COHR
21198/zz0008zx5t	level1	Politics and Government	COHR
21198/zz002k2zz1	level1	Politics and Government	COHR
21198/zz002kfgp2	level1	Politics and Government	COHR
21198/zz0015vqzm	level1	Politics and Government	COHR
21198/zz0008z7f9	level1	Politics and Government	COHR
21198/zz0008zpp6	level1	Politics and Government	COHR
21198/zz0013x5wx	level1	Politics and Government	COHR
21198/zz0008z8ht	level2	UCLA Faculty	COHR
21198/zz0008zdb5	level2	UCLA Faculty	COHR
21198/zz0008zc95	level2	UCLA Faculty	COHR
21198/zz0008zb9p	level2	UCLA Faculty	COHR
21198/zz00099176	level2	UCLA Faculty	COHR
21198/zz0008zj40	level2	UCLA Faculty	COHR
21198/zz0008zpw9	level2	UCLA Faculty	COHR
21198/zz0008zd3j	level2	UCLA Faculty	COHR
21198/zz0008zsk3	level2	UCLA Faculty	COHR
21198/zz0008zdtd	level2	UCLA Faculty	COHR
21198/zz0008zg9m	level1	UCLA Student Leaders	COHR
21198/zz0008zktt	level2	UCLA Student Leaders	COHR
21198/zz0008zch8	level2	UCLA Student Leaders	COHR
21198/zz002kppxq	level1	Architecture, Landscape Architecture, and Design	COHR
21198/zz000901dr	level1	Architecture, Landscape Architecture, and Design	COHR
21198/zz0008zn3x	level2	Architecture, Landscape Architecture, and Design	COHR
21198/zz000905ms	level2	Architecture, Landscape Architecture, and Design	COHR
21198/zz000902cq	level2	Architecture, Landscape Architecture, and Design	COHR
21198/zz002kp67m	level1	Music	COHR
21198/zz002kdm69	level1	Music	COHR
21198/zz00097z17	level2	Music	COHR
21198/zz00098vqk	level2	Music	COHR
21198/zz0009gkpw	level2	Music	COHR
21198/zz0008zqzt	level2	Music	COHR
21198/zz0008zq0b	level2	Music	COHR
21198/zz0008znk5	level2	Music	COHR
21198/zz00090222	level2	Music	COHR
21198/zz0008zmg4	level2	Music	COHR
21198/zz0008zb43	level2	Music	COHR
21198/zz00097zqk	level2	Music	COHR
21198/zz0017sn45	level2	Music	COHR
21198/zz00096b55	level2	Music	COHR
21198/zz002jj8t5	level2	Music	COHR
21198/zz0008zz17	level1	Donated Oral Histories	COHR
21198/zz000xc4k5	level1	Donated Oral Histories	COHR
21198/zz001d0pc1	level1	Latina and Latino History	COHR
21198/zz0008zx5t	level1	Latina and Latino History	COHR
21198/zz002hkcwp	level1	Latina and Latino History	COHR
21198/zz002kptp1	level1	Latina and Latino History	COHR
21198/zz002kptnh	level1	Latina and Latino History	COHR
