ARK	TYPE	VALUE	SOURCE
21198/zz002kdkj0		SESSION 1 (1/18/2019)	
21198/zz002k60j3		TAPE NUMBER: IV, Side Two (July 2, 1980)	
21198/zz0013z7hn		TAPE NUMBER: I, Side Two (November 4, 1976)	
21198/zz002k5f4q		TAPE NUMBER: II, Side Two (November 6, 1971)	
21198/zz0013zk8v		Tape Number: III, Side One (February 7, 1986)	
21198/zz0013zhz7		Tape Number: III, Side Two (January 28, 1976)	
21198/zz0013zjk1		TAPE NUMBER: VII, Side One (August 15, 1972)	
21198/zz0013xx1m		SESSION 2 (9/5/2008)	
21198/zz002bwvhq		SESSION 4 (6/24/2010)	
21198/zz002bz9zm		Interview of Reyes King Freeman	
21198/zz002bp933		SESSION 4 (10/06/2011)	
21198/zz002bwvb4		Interview of Isabel Blancas	
21198/zz002bpf94		SESSION 5 (8/4/2011)	
21198/zz002bpgj7		SESSION 3 (8/18/2011)	
21198/zz002cdsnz		SESSION 11 (5/23/2011)	
21198/zz002jj8z7		SESSION 4 (5/5/2011)	
21198/zz002jb58r		SESSION 2 (3/24/2011)	
21198/zz002jxz6f		Management, Innovation, and Computer Technologies: Oral Histories from the Defense Advanced Research Projects Agency, 1957-2015	
21198/zz002jkcvk		Interview of Wakako Yamauchi	
21198/zz000s00vs		SESSION 1 (5/13/2008)	
21198/zz0028tdcn		SESSION 3 (5/23/2011)	
21198/zz000s93f2		Interview of Todd Schiffman	
21198/zz000s7pt2		TAPE NUMBER: I, Side One (April 26, 1982)	
21198/zz000s7q9s		TAPE NUMBER: II, Side Two (March 21, 1990)	
21198/zz000s7s87		TAPE NUMBER: IV, Side One (October 4, 1991)	
21198/zz000s7sb8		TAPE NUMBER: I, Side One (July 12, 1995)	
21198/zz000s7pw3		TAPE NUMBER: II, Side One (April 26, 1982)	
21198/zz000s7q67		TAPE NUMBER: I, Side One (March 7, 1990)	
21198/zz000s7r0m		TAPE NUMBER: II, Side Two (November 1, 1989)	
21198/zz000s7rvj		TAPE NUMBER: XVI, Side Two (August 6, 1990)	
21198/zz000s7r2n		TAPE NUMBER: IV, Side One (November 20, 1989)	
21198/zz000s7s7q		TAPE NUMBER: III, Side Two (September 27, 1991)	
21198/zz000s7p36		TAPE NUMBER: II, Side One (August 11, 1978)	
21198/zz000s7pkf		TAPE NUMBER: II, Side Two (February 10, 1990)	
21198/zz000s7png		TAPE NUMBER: III, Side Two (February 10, 1990)	
21198/zz000s7pr1		TAPE NUMBER: V, Side One (March 3, 1990)	
21198/zz000s7pvk		TAPE NUMBER: I, Side Two (April 26, 1982)	
21198/zz000s6b2d		SESSION 4 (7/16/2008)	
21198/zz000s7rc9		TAPE NUMBER: IX, Side One (February 26, 1990)	
21198/zz001dsm4r		TAPE NUMBER: IX, Side One (November 30, 1977)	
21198/zz002b9sc2		Champ de Mars: Interview of Mme. Claude	
