ARK	TYPE	VALUE	SOURCE
21198/zz002kpzc9	callNo	050120231211	
21198/zz0015vhrm	local	610	
21198/zz0008zcpv	local	213	
21198/zz0008zdfq	local	234	
21198/zz0008z865	local	12	
21198/zz0008zdm9	local	239	
21198/zz0008zdtd	local	244	
21198/zz0008zf4j	local	253	
21198/zz0008zb7n	local	175	
21198/zz0008zkzw	local	379	
21198/zz0008zbpc	local	188	
21198/zz0008zfjr	local	264	
21198/zz0008zbrd	local	19	
21198/zz0008zkk6	local	369	
21198/zz0008zhww	local	324	
21198/zz0008zjxw	local	351	
21198/zz0008ztkk	local	574	
21198/zz0008ztm3	local	575	
21198/zz0008zv3t	local	588	
21198/zz0008zvf0	local	597	
21198/zz0008zvgh	local	598	
21198/zz0008zvn3	local	601	
21198/zz0008zwdz	local	621	
21198/zz0008zvh1	local	599	
21198/zz0008zvpm	local	602	
21198/zz0008zvwq	local	608	
21198/zz0008zwfg	local	622	
21198/zz0008zrt7	local	506	
21198/zz0008zmp7	local	398	
21198/zz0008zp2w	local	433	
21198/zz0008zrb0	local	493	
21198/zz0008z8mc	local	130	
21198/zz0008z8nw	local	131	
21198/zz0008z81k	local	115	
21198/zz0008zxs4	local	66	
21198/zz0008zv5v	local	59	
21198/zz00090400	local	81	
21198/zz0008zgcn	local	286	
21198/zz0008zthj	local	572	
21198/zz0008ztr5	local	579	
21198/zz0008zm81	local	387	
21198/zz0008znf3	local	417	
21198/zz0008zp6z	local	437	
21198/zz0008zhsb	local	321	
21198/zz0008zjp8	local	345	
21198/zz0008zp3d	local	434	
21198/zz0008z94m	local	144	
21198/zz0008z98p	local	148	
21198/zz0008z9gs	local	153	
21198/zz0009061g	local	S040	
21198/zz0009065j	local	S044	
21198/zz0008zx49	local	642	
21198/zz0008zx9w	local	647	
21198/zz000902hs	local	761	
21198/zz0008zgxx	local	30	
21198/zz0008zh30	local	303	
21198/zz0008zjnr	local	344	
21198/zz0008zkq8	local	372	
21198/zz0008zmss	local	40	
21198/zz0008zpp6	local	45	
21198/zz0008zqtr	local	48	
21198/zz0008zs1t	local	511	
21198/zz0008zs8f	local	518	
21198/zz0008zsv7	local	534	
21198/zz0008zvjj	local	6	
21198/zz0008zx7v	local	645	
21198/zz000902kt	local	763	
21198/zz000902vz	local	770	
21198/zz0009030h	local	774	
21198/zz000903bp	local	783	
21198/zz000903gr	local	787	
21198/zz000903xg	local	8	
21198/zz00090484	local	89	
21198/zz0008zb1j	local	17	
