ARK	TYPE	VALUE	SOURCE
21198/zz000xc4k5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001d0rzs	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001nw29v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0025mnrs	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hgnt5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000s93f2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002jh4gm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015vhrm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rwrp2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rws5s	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015vc1t	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rwrff	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rws27	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rwrnj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009frh8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009frgr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009fs84	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009fs7m	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001cb3zp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001d0rf1	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009fp33	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009fp54	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009fqnv	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009gk96	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000j6ws3	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000955vn	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000j6wv4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rtfn9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rtg7k	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rtgd5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rtgfp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00097zsm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000955w5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001d0v4t	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hj3zd	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00099134	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00099pnk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00099n5v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009hv0v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009d1zd	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009g00b	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009f4sq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009f5mm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dbrn	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dbq4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dcbx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009ddh0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dccf	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dghz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dd07	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009dgrk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00097xzq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00098x4r	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00098x79	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00099113	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00097q2c	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00097qzt	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002h63mr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0028vg3x	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002dx5z2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0028vg4f	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00096mc4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpbb3	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpb61	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpbhp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpjg2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kppcf	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp710	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpjqp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpzw2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kq033	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpb82	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00096t6f	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp67m	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpp7c	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpbp8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001d0rbg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002c2gmm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpmd0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hzgmx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpbkq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpkc0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zcpv	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zdcp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zdj8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000rtx8c	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zf2h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zfh7	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zjr9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zbmb	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zfjr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zh0f	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zqk4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zbsx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zg3h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zgb4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zgfp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zx07	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015xc06	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002bpf94	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0028td1g	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k302h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kbrjh	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knbbn	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kmc32	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knqt6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kf3xc	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zc4k	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knrmk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp3jt	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knrpm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knvqk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp066	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp0s0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp2jb	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp2ht	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp23m	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kp1f9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kfh3r	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009gknc	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knp3v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knrjj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knx16	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002knx6s	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z9kb	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zkjp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zkk6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008ztvq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zv4b	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zvtp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zvq4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zw39	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zvdg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zbj9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zmp7	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zq7z	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zr2v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zr9g	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zrch	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zsjk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zt19	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z8nw	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zxs4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000901bq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zp9h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zt0s	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zg62	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zg5j	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zp6z	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zhps	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zrg2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zmb2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008znwt	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z912	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z9tz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zqzt	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zr3c	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z933	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zjfn	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zjj6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000905zz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00090620	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zqv8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zc6m	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zxfz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000900nw	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00090222	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zgm8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zh4h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zkxc	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008znv9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zpp6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zr1b	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zsv7	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zwbx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zx1r	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zz59	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000900sz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000900zj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00090264	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009027n	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000902vz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000902wg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00090332	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009038n	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000903bp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000903h8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000903vf	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000903z0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009041h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zb1j	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000901c7	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zdxz	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zgzf	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zm7h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zphm	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000906g6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zbnv	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z8tg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000x9ppj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z7jv	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zcgr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zcjs	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zcsd	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zcdq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z7xj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008z823	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zd3j	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015wd9w	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015vsb8	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015wkz4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015wdq3	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0015wf8v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00162xkx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002btcq5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0028td0z	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0028tdd5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcp17	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kd0c6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k7gfr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcd0v	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k7gmb	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zz9c	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zzff	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0008zzxp	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009001k	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000900qx	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009010j	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001nf2dk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001nf2n6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k6rjq	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hxh2p	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k31sv	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002cds1n	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k6szd	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k6t0d	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kc2mb	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcs47	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002jxz90	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002jxzh3	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k7kbn	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001400k5	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kd7g4	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k354z	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k31p9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0009d67z	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kbs7b	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcw77	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001769vk	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k3jjg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcd3d	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcd9h	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kd053	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kcw98	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002jxz8g	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001hfxcg	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001hfxfh	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002bz9x3	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00095wcj	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001d0kp7	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k638d	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hzgr0	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hj2h6	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hxhng	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz00096qqr	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002k432d	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002kpz4p	placeOfOrigin	UCLA Library, Center for Oral History Research	local
21198/zz002hgc5g	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz000s9kx2	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz001nw2dd	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz0025mns9	publisherName	UCLA Library, Center for Oral History Research	local
21198/zz002hjgdf	publisherName	UCLA Library, Center for Oral History Research	local
